Input-X
Input-Y
Input-W1
Input-b1
Input-W2
Input-b2
Linear-l1
Sigmoid-s1
Linear-l2
MSE-cost
Total number of examples: 506
Epoch 344, Loss: 4.87161149163136
Epoch 345, Loss: 4.640567026235952
Epoch 346, Loss: 5.838555307623794
Epoch 347, Loss: 5.036924597729747
Epoch 348, Loss: 6.038539992999198
Epoch 349, Loss: 5.764009330599917
Epoch 350, Loss: 4.674869488842545
Epoch 351, Loss: 5.051124252157801
Epoch 352, Loss: 4.836542150827302
Epoch 353, Loss: 5.999144584974968
Epoch 354, Loss: 5.655723696196201
Epoch 355, Loss: 4.701848683695183
Epoch 356, Loss: 4.994117842214585
Epoch 357, Loss: 5.449985357078572
Epoch 358, Loss: 4.797155042339167
Epoch 359, Loss: 5.5674116534271185
Epoch 360, Loss: 6.192967096124192
Epoch 361, Loss: 5.553994268525656
Epoch 362, Loss: 4.434826135170287
Epoch 363, Loss: 5.828696333081968
Epoch 364, Loss: 5.167369784021224
Epoch 365, Loss: 4.721624358683701
Epoch 366, Loss: 5.677664624092952
Epoch 367, Loss: 5.400211621132327
Epoch 368, Loss: 5.094962946259055
Epoch 369, Loss: 4.862489447778302
Epoch 370, Loss: 5.064374945074044
Epoch 371, Loss: 3.8807987510713837
Epoch 372, Loss: 4.129327400895014
Epoch 373, Loss: 5.077403879631931
Epoch 374, Loss: 4.730467037174442
Epoch 375, Loss: 5.647611347543667
Epoch 376, Loss: 5.376049682922879
Epoch 377, Loss: 4.8264189154230435
Epoch 378, Loss: 5.264853120993618
Epoch 379, Loss: 5.529520483295515
Epoch 380, Loss: 4.449450498080482
Epoch 381, Loss: 5.388432732867253
Epoch 382, Loss: 4.927469466470197
Epoch 383, Loss: 5.2651919240582234
Epoch 384, Loss: 5.316511423206986
Epoch 385, Loss: 6.536554036374477
Epoch 386, Loss: 6.248884541916135
Epoch 387, Loss: 5.7343864341373125
Epoch 388, Loss: 4.939850917006675
Epoch 389, Loss: 5.263024252152411
Epoch 390, Loss: 5.741175117086838
Epoch 391, Loss: 5.16438725739808
Epoch 392, Loss: 5.264631468797942
Epoch 393, Loss: 5.595333441144263
Epoch 394, Loss: 4.95162506633147
Epoch 395, Loss: 5.4036247483284106
Epoch 396, Loss: 5.436694305704425
Epoch 397, Loss: 5.759195752238244
Epoch 398, Loss: 4.719125176703075
Epoch 399, Loss: 5.063559822474907
Epoch 400, Loss: 4.604559819264951
Epoch 401, Loss: 6.106162294076046
Epoch 402, Loss: 6.00875484381296
Epoch 403, Loss: 5.625204496478747
Epoch 404, Loss: 5.316673738774614
Epoch 405, Loss: 4.608324137624041
Epoch 406, Loss: 5.019065750265416
Epoch 407, Loss: 5.307921887726568
Epoch 408, Loss: 5.106121391262402
Epoch 409, Loss: 4.225025804508441
Epoch 410, Loss: 5.155285675866318
Epoch 411, Loss: 4.94748807751026
Epoch 412, Loss: 4.405399799246042
Epoch 413, Loss: 4.749433216660839
Epoch 414, Loss: 5.1973197430845905
Epoch 415, Loss: 4.767013668063599
Epoch 416, Loss: 5.282520724725766
Epoch 417, Loss: 5.491255107753059
Epoch 418, Loss: 4.715091467089521
Epoch 419, Loss: 4.699686248865746
Epoch 420, Loss: 4.1694206256761595
Epoch 421, Loss: 5.541440095158692
Epoch 422, Loss: 4.906197040800125
Epoch 423, Loss: 4.928554059023451
